         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57782.579866 19.063754      NaN   34    17 c    0   0.95 210.91068 54.31167  8339.77  1441.32 3.89 3.75 -88.5 -0.409    19.84 21.99 02a57782o0743c        0  22.946832
57782.593858 19.696897      NaN  -37    16 c    0   1.02 210.91068 54.31167  8283.45  1368.28 3.81 3.67  86.7 -0.414    19.88 22.03 02a57782o0769c        0  22.216145
57782.607900 19.569016      NaN  -14    18 c    0   1.04 210.91068 54.31167  8260.49  1491.86 3.93 3.77  83.5 -0.405    19.81 21.96 02a57782o0795c  4194560  23.697196
57782.621826 19.226921      NaN   22    17 c    0   1.16 210.91068 54.31167  8309.01  1433.74 3.86 3.71  85.7 -0.415    19.84 21.99 02a57782o0821c        0  22.946832
57786.563706 19.510313      NaN  -15    19 c    0   0.88 210.91068 54.31167  9333.87  9922.41 3.91 3.51 -86.1 -0.426    19.80 21.89 02a57786o0507c   524288  24.465427
57786.566299 19.128787      NaN   20    20 c    0   1.14 210.91068 54.31167  8090.84   122.51 3.89 3.68  12.8 -0.447    19.82 21.92 02a57786o0512c        0  25.249893
57786.576403 19.510313      NaN    2    18 c    0   1.05 210.91068 54.31167  9345.04  9962.70 3.98 3.59 -88.6 -0.418    19.82 21.94 02a57786o0531c   524288  23.697196
57786.579012 19.241693      NaN    9    21 c    0   1.03 210.91068 54.31167  8103.11   163.06 3.88 3.68  17.3 -0.448    19.85 21.96 02a57786o0536c        0  26.049129
57786.589214 19.631075      NaN  -33    17 c    0   0.94 210.91068 54.31167  9286.86  9887.26 3.94 3.57 -90.0 -0.429    19.83 21.94 02a57786o0555c   524288  22.946832
57786.591848 19.401649      NaN   -6    21 c    0   0.94 210.91068 54.31167  8047.38    87.36 3.90 3.71  15.5 -0.449    19.68 21.79 02a57786o0560c   524288  26.049129
57786.602149 18.826541      NaN   34    24 c    0   1.19 210.91068 54.31167  9264.12 10008.96 3.98 3.64  85.5 -0.433    19.48 21.55 02a57786o0579c        0  28.522923
57786.604786 19.302877      NaN  -41    23 c    0   0.90 210.91068 54.31167  8036.04   208.52 3.88 3.76  18.9 -0.442    19.84 21.98 02a57786o0584c   524288  27.686768
57786.615038 19.197966      NaN   21    18 c    0   1.00 210.91068 54.31167  9309.08  9950.24 3.95 3.59  86.1 -0.426    19.78 21.88 02a57786o0603c   524288  23.697196
57786.617646 19.454622      NaN  -11    20 c    0   1.02 210.91068 54.31167  8070.42   151.95 3.90 3.74  24.7 -0.449    19.84 21.99 02a57786o0608c        0  25.249893
57806.543426 19.197966      NaN   15    20 c    0   0.91 210.91068 54.31167  9193.54  1304.83 3.85 3.71  60.1 -0.446    19.76 21.82 02a57806o0606c        0  25.249893
57806.546470 19.589310      NaN    1    17 c    0   1.19 210.91068 54.31167  9219.81  1341.98 3.98 3.84  55.3 -0.429    19.74 21.83 02a57806o0612c   524288  22.946832
57806.563479 19.631075      NaN   -8    17 c    0   1.21 210.91068 54.31167  9162.35  1269.26 4.05 3.88  52.4 -0.427    19.76 21.89 02a57806o0643c        0  22.946832
57806.577726 18.990530      NaN   28    21 c    0   0.90 210.91068 54.31167  9141.97  1388.41 3.91 3.72  65.1 -0.441    19.76 21.84 02a57806o0669c   524288  26.049129
57806.591596 19.014394      NaN   32    19 c    0   1.00 210.91068 54.31167  9192.05  1327.70 3.91 3.71  60.9 -0.439    19.72 21.75 02a57806o0695c        0  24.465427
57834.492888 19.155932      NaN   21    19 c    0   0.92 210.91068 54.31167  8094.06  3373.16 3.99 3.71  87.7 -0.381    19.07 21.15 02a57834o0443c        0  24.465427
57834.503330 19.454622      NaN  -21    20 c    0   1.17 210.91068 54.31167  2388.47  7038.11 3.82 3.69  44.8 -0.427    19.11 21.19 02a57834o0463c        0  25.249893
57834.527024 18.889197      NaN   28    24 c    0   0.98 210.91068 54.31167  2435.79  7114.10 3.82 3.67  46.3 -0.423    19.04 21.02 02a57834o0506c   524288  28.522923
57834.542612 19.351140      NaN   -1    22 c    0   1.16 210.91068 54.31167  2454.99  6998.96 4.01 3.88  51.8 -0.407    18.92 20.83 02a57834o0535c        0  26.861815
57834.554663 19.212347      NaN  -31    25 c    0   0.82 210.91068 54.31167  2409.89  7060.35 4.05 3.88  49.6 -0.393    18.86 20.73 02a57834o0557c        0  29.369323
57838.492206 19.241693      NaN    3    23 c    0   0.92 210.91068 54.31167   128.86   588.06 4.44 4.39 -73.3 -0.376    19.01 21.19 02a57838o0454c   524288  27.686768
57838.492735 18.967180      NaN   27    22 c    0   0.99 210.91068 54.31167  1491.26 10396.98 4.33 4.18  26.1 -0.383    19.04 21.20 02a57838o0455c   524288  26.861815
57838.494486 19.142275      NaN   13    22 c    0   1.10 210.91068 54.31167  9019.91    91.83 4.02 3.88  39.5 -0.447    19.06 21.21 02a57838o0458c   524288  26.861815
57838.495005 18.990530      NaN   28    21 c    0   1.20 210.91068 54.31167 10384.17  9904.10 4.46 4.09  80.9 -0.413    19.01 21.18 02a57838o0459c  4194560  26.049129
57838.505700 19.401649      NaN  -20    21 c    0   1.28 210.91068 54.31167 10312.68  9828.91 4.42 4.10  82.0 -0.403    19.02 21.17 02a57838o0479c   524288  26.049129
57838.524714 19.510313      NaN   -6    19 c    0   0.96 210.91068 54.31167   187.43   504.86 4.25 4.18 -14.6 -0.373    19.03 21.14 02a57838o0515c   524288  24.465427
57838.528687 19.212347      NaN  -39    25 c    0   0.94 210.91068 54.31167  1540.20 10311.98 4.13 3.95  18.6 -0.402    19.04 21.15 02a57838o0522c  4194560  29.369323
57838.541835 19.401649      NaN  -11    21 c    0   1.23 210.91068 54.31167  1512.40 10374.50 4.23 3.75   9.1 -0.385    19.03 21.12 02a57838o0547c   524288  26.049129
57838.542881 19.454622      NaN  -14    20 c    0   1.07 210.91068 54.31167   153.97   560.41 4.09 3.98 -87.9 -0.398    19.06 21.09 02a57838o0549c        0  25.249893
57842.515338 19.256669      NaN  -13    24 c    0   0.88 210.91068 54.31167  3835.67  6725.29 4.04 3.91  55.3 -0.397    18.98 21.04 02a57842o0427c   524288  28.522923
57842.526432 19.351140      NaN  -19    22 c    0   1.21 210.91068 54.31167  3878.84  6800.96 4.26 4.09  67.1 -0.387    18.93 21.04 02a57842o0448c        0  26.861815
57842.544005 19.226921      NaN    7    22 c    0   1.02 210.91068 54.31167  3899.92  6680.73 4.12 3.96  75.6 -0.378    18.94 20.97 02a57842o0481c        0  26.861815
57862.478560 19.454622      NaN  -24    20 c    0   1.23 210.91068 54.31167  3527.98  6957.05 3.82 3.70  86.0 -0.396    18.84 20.47 02a57862o0525c        0  25.249893
57862.500554 19.183773      NaN   16    20 c    0   1.47 210.91068 54.31167  3505.08  6917.09 3.78 3.66  86.7 -0.403    18.76 20.25 02a57862o0570c        0  25.249893
